Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1718927451,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718927452,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718927453,2,POST,/common_factors_classification,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,970.0,999.3960944957507,965.2120159953483,1033.5801729961531,3306.5
1718927453,2,,Aggregated,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2,0,970.0,999.3960944957507,965.2120159953483,1033.5801729961531,3306.5
1718927454,3,POST,/common_factors_classification,0.000000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,3,0,1000.0,1284.8774803302756,965.2120159953483,1855.8402519993251,3308.0
1718927454,3,,Aggregated,0.000000,0.000000,1000,1000,1900,1900,1900,1900,1900,1900,1900,1900,1900,3,0,1000.0,1284.8774803302756,965.2120159953483,1855.8402519993251,3308.0
1718927455,4,POST,/common_factors_classification,0.500000,0.000000,1800,1800,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1000.0,1422.426665247258,965.2120159953483,1855.8402519993251,3301.0
1718927455,4,,Aggregated,0.500000,0.000000,1800,1800,1900,1900,1900,1900,1900,1900,1900,1900,1900,4,0,1000.0,1422.426665247258,965.2120159953483,1855.8402519993251,3301.0
1718927456,5,POST,/common_factors_classification,0.500000,0.000000,1900,1900,2700,2700,2700,2700,2700,2700,2700,2700,2700,5,0,1800.0,1679.8275127977831,965.2120159953483,2709.430902999884,3288.0
1718927456,5,,Aggregated,0.500000,0.000000,1800,1900,1900,2700,2700,2700,2700,2700,2700,2700,2700,5,0,1800.0,1679.8275127977831,965.2120159953483,2709.430902999884,3288.0
1718927457,6,POST,/common_factors_classification,0.666667,0.000000,1900,2700,2700,2800,2800,2800,2800,2800,2800,2800,2800,6,0,1800.0,1865.607262665435,965.2120159953483,2794.506012003694,3285.0
1718927457,6,,Aggregated,0.666667,0.000000,1900,1900,2700,2700,2800,2800,2800,2800,2800,2800,2800,6,0,1800.0,1865.607262665435,965.2120159953483,2794.506012003694,3285.0
1718927458,7,POST,/common_factors_classification,0.750000,0.000000,2700,2700,2700,2700,2800,2800,2800,2800,2800,2800,2800,7,0,1900.0,1988.697856284229,965.2120159953483,2794.506012003694,3285.4285714285716
