Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1718397465,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397466,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397467,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397468,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397469,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397470,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397471,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397472,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397473,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397474,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397475,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397476,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397477,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397478,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397479,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1718397480,10,POST,/common_factors_classification,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,5846.028579995618,5846.028579995618,5846.028579995618,5846.028579995618,3145.0
1718397480,10,,Aggregated,0.000000,0.000000,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,1,0,5846.028579995618,5846.028579995618,5846.028579995618,5846.028579995618,3145.0
1718397481,10,POST,/common_factors_classification,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5846.028579995618,6347.90947899819,5846.028579995618,6849.790378000762,3255.0
1718397481,10,,Aggregated,0.000000,0.000000,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,2,0,5846.028579995618,6347.90947899819,5846.028579995618,6849.790378000762,3255.0
1718397482,10,POST,/common_factors_classification,0.000000,0.000000,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,3,0,6800.0,6850.533744664669,5846.028579995618,7855.782275997626,3242.0
1718397482,10,,Aggregated,0.000000,0.000000,6800,6800,7900,7900,7900,7900,7900,7900,7900,7900,7900,3,0,6800.0,6850.533744664669,5846.028579995618,7855.782275997626,3242.0
1718397483,10,POST,/common_factors_classification,0.100000,0.000000,7900,7900,8900,8900,8900,8900,8900,8900,8900,8900,8900,4,0,6800.0,7374.248909498419,5846.028579995618,8945.394403999671,3259.25
1718397483,10,,Aggregated,0.100000,0.000000,7900,7900,8900,8900,8900,8900,8900,8900,8900,8900,8900,4,0,6800.0,7374.248909498419,5846.028579995618,8945.394403999671,3259.25
1718397484,10,POST,/common_factors_classification,0.300000,0.000000,8900,8900,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,0,7900.0,7898.066417999507,5846.028579995618,9993.33645200386,3263.8
1718397484,10,,Aggregated,0.300000,0.000000,8900,8900,10000,10000,10000,10000,10000,10000,10000,10000,10000,5,0,7900.0,7898.066417999507,5846.028579995618,9993.33645200386,3263.8
1718397485,10,POST,/common_factors_classification,0.400000,0.000000,8900,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,7900.0,8426.403295000151,5846.028579995618,11068.087680003373,3274.0
1718397485,10,,Aggregated,0.400000,0.000000,8900,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,6,0,7900.0,8426.403295000151,5846.028579995618,11068.087680003373,3274.0
1718397486,10,POST,/common_factors_classification,0.400000,0.000000,10000,10000,11000,11000,12000,12000,12000,12000,12000,12000,12000,7,0,8900.0,8960.186504285957,5846.028579995618,12162.88576000079,3274.285714285714
1718397486,10,,Aggregated,0.400000,0.000000,10000,10000,11000,11000,12000,12000,12000,12000,12000,12000,12000,7,0,8900.0,8960.186504285957,5846.028579995618,12162.88576000079,3274.285714285714
1718397487,10,POST,/common_factors_classification,0.500000,0.000000,10000,11000,12000,12000,13000,13000,13000,13000,13000,13000,13000,8,0,8900.0,9485.682178625211,5846.028579995618,13164.15189899999,3287.25
1718397487,10,,Aggregated,0.500000,0.000000,10000,11000,12000,12000,13000,13000,13000,13000,13000,13000,13000,8,0,8900.0,9485.682178625211,5846.028579995618,13164.15189899999,3287.25
1718397488,10,POST,/common_factors_classification,0.600000,0.000000,11000,12000,13000,13000,14000,14000,14000,14000,14000,14000,14000,9,0,10000.0,10005.641374778255,5846.028579995618,14165.314944002603,3291.777777777778
1718397488,10,,Aggregated,0.600000,0.000000,11000,12000,13000,13000,14000,14000,14000,14000,14000,14000,14000,9,0,10000.0,10005.641374778255,5846.028579995618,14165.314944002603,3291.777777777778
1718397489,10,POST,/common_factors_classification,0.700000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,10,0,10000.0,10522.576069700153,5846.028579995618,15174.98832399724,3289.0
1718397489,10,,Aggregated,0.700000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,10,0,10000.0,10522.576069700153,5846.028579995618,15174.98832399724,3289.0
1718397490,10,POST,/common_factors_classification,0.800000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,11,0,10000.0,10504.465141182167,5846.028579995618,15174.98832399724,3289.7272727272725
1718397490,10,,Aggregated,0.800000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,11,0,10000.0,10504.465141182167,5846.028579995618,15174.98832399724,3289.7272727272725
1718397491,10,POST,/common_factors_classification,0.900000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,12,0,10000.0,10486.538203917007,5846.028579995618,15174.98832399724,3290.4166666666665
1718397491,10,,Aggregated,0.900000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,12,0,10000.0,10486.538203917007,5846.028579995618,15174.98832399724,3290.4166666666665
1718397492,10,POST,/common_factors_classification,0.900000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,13,0,10000.0,10469.538751461816,5846.028579995618,15174.98832399724,3288.6153846153848
1718397492,10,,Aggregated,0.900000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,13,0,10000.0,10469.538751461816,5846.028579995618,15174.98832399724,3288.6153846153848
1718397493,10,POST,/common_factors_classification,0.900000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,14,0,10000.0,10447.638879357588,5846.028579995618,15174.98832399724,3288.8571428571427
1718397493,10,,Aggregated,0.900000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,14,0,10000.0,10447.638879357588,5846.028579995618,15174.98832399724,3288.8571428571427
1718397494,10,POST,/common_factors_classification,0.900000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,15,0,10000.0,10422.496467733677,5846.028579995618,15174.98832399724,3292.733333333333
1718397494,10,,Aggregated,0.900000,0.000000,11000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,15,0,10000.0,10422.496467733677,5846.028579995618,15174.98832399724,3292.733333333333
1718397495,10,POST,/common_factors_classification,0.900000,0.000000,10000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,16,0,10000.0,10394.460989750314,5846.028579995618,15174.98832399724,3298.625
1718397495,10,,Aggregated,0.900000,0.000000,10000,12000,13000,14000,15000,15000,15000,15000,15000,15000,15000,16,0,10000.0,10394.460989750314,5846.028579995618,15174.98832399724,3298.625
1718397496,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,13000,14000,15000,15000,15000,15000,15000,15000,15000,17,0,10000.0,10362.408133411971,5846.028579995618,15174.98832399724,3294.0588235294117
1718397496,10,,Aggregated,1.000000,0.000000,10000,10000,13000,14000,15000,15000,15000,15000,15000,15000,15000,17,0,10000.0,10362.408133411971,5846.028579995618,15174.98832399724,3294.0588235294117
1718397497,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,10000,14000,15000,15000,15000,15000,15000,15000,15000,18,0,10000.0,10354.483041500012,5846.028579995618,15174.98832399724,3298.5555555555557
1718397497,10,,Aggregated,1.000000,0.000000,10000,10000,10000,14000,15000,15000,15000,15000,15000,15000,15000,18,0,10000.0,10354.483041500012,5846.028579995618,15174.98832399724,3298.5555555555557
1718397498,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,10000,10000,15000,15000,15000,15000,15000,15000,15000,19,0,10000.0,10352.108764368735,5846.028579995618,15174.98832399724,3297.7894736842104
1718397498,10,,Aggregated,1.000000,0.000000,10000,10000,10000,10000,15000,15000,15000,15000,15000,15000,15000,19,0,10000.0,10352.108764368735,5846.028579995618,15174.98832399724,3297.7894736842104
1718397499,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,20,0,10000.0,10357.18425100058,5846.028579995618,15174.98832399724,3300.35
1718397499,10,,Aggregated,1.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,20,0,10000.0,10357.18425100058,5846.028579995618,15174.98832399724,3300.35
1718397500,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,21,0,10000.0,10318.651806191026,5846.028579995618,15174.98832399724,3298.904761904762
1718397500,10,,Aggregated,1.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,21,0,10000.0,10318.651806191026,5846.028579995618,15174.98832399724,3298.904761904762
1718397501,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,22,0,10000.0,10288.454862773175,5846.028579995618,15174.98832399724,3300.3636363636365
1718397501,10,,Aggregated,1.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,22,0,10000.0,10288.454862773175,5846.028579995618,15174.98832399724,3300.3636363636365
1718397502,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,10000,10000,13000,13000,13000,13000,13000,13000,13000,23,0,10000.0,10389.78105795705,5846.028579995618,15174.98832399724,3298.521739130435
1718397502,10,,Aggregated,1.000000,0.000000,10000,10000,10000,10000,13000,13000,13000,13000,13000,13000,13000,23,0,10000.0,10389.78105795705,5846.028579995618,15174.98832399724,3298.521739130435
1718397503,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,10000,10000,13000,13000,13000,13000,13000,13000,13000,23,0,10000.0,10389.78105795705,5846.028579995618,15174.98832399724,3298.521739130435
1718397503,10,,Aggregated,1.000000,0.000000,10000,10000,10000,10000,13000,13000,13000,13000,13000,13000,13000,23,0,10000.0,10389.78105795705,5846.028579995618,15174.98832399724,3298.521739130435
1718397504,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,10000,11000,13000,13000,13000,13000,13000,13000,13000,24,0,10000.0,10404.796515917042,5846.028579995618,15174.98832399724,3295.5833333333335
1718397504,10,,Aggregated,1.000000,0.000000,10000,10000,10000,11000,13000,13000,13000,13000,13000,13000,13000,24,0,10000.0,10404.796515917042,5846.028579995618,15174.98832399724,3295.5833333333335
1718397505,10,POST,/common_factors_classification,1.000000,0.000000,10000,10000,11000,11000,13000,13000,13000,13000,13000,13000,13000,25,0,10000.0,10422.077686600387,5846.028579995618,15174.98832399724,3296.2
1718397505,10,,Aggregated,1.000000,0.000000,10000,10000,11000,11000,13000,13000,13000,13000,13000,13000,13000,25,0,10000.0,10422.077686600387,5846.028579995618,15174.98832399724,3296.2
1718397506,10,POST,/common_factors_classification,1.000000,0.000000,10000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,26,0,10000.0,10441.338113577121,5846.028579995618,15174.98832399724,3295.6923076923076
1718397506,10,,Aggregated,1.000000,0.000000,10000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,26,0,10000.0,10441.338113577121,5846.028579995618,15174.98832399724,3295.6923076923076
1718397507,10,POST,/common_factors_classification,1.000000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,27,0,10000.0,10465.00772566678,5846.028579995618,15174.98832399724,3294.4444444444443
1718397507,10,,Aggregated,1.000000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,27,0,10000.0,10465.00772566678,5846.028579995618,15174.98832399724,3294.4444444444443
1718397508,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,28,0,10000.0,10476.841941285913,5846.028579995618,15174.98832399724,3296.285714285714
1718397508,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,28,0,10000.0,10476.841941285913,5846.028579995618,15174.98832399724,3296.285714285714
1718397509,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,29,0,10000.0,10485.70312134488,5846.028579995618,15174.98832399724,3299.0344827586205
1718397509,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,29,0,10000.0,10485.70312134488,5846.028579995618,15174.98832399724,3299.0344827586205
1718397510,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,30,0,10000.0,10492.515636366685,5846.028579995618,15174.98832399724,3298.866666666667
1718397510,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,30,0,10000.0,10492.515636366685,5846.028579995618,15174.98832399724,3298.866666666667
1718397511,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,31,0,10000.0,10501.231536709736,5846.028579995618,15174.98832399724,3300.4193548387098
1718397511,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,13000,13000,13000,13000,13000,13000,13000,31,0,10000.0,10501.231536709736,5846.028579995618,15174.98832399724,3300.4193548387098
1718397512,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,32,0,10000.0,10510.196024875086,5846.028579995618,15174.98832399724,3299.84375
1718397512,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,32,0,10000.0,10510.196024875086,5846.028579995618,15174.98832399724,3299.84375
1718397513,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,33,0,10000.0,10522.811558000147,5846.028579995618,15174.98832399724,3299.3333333333335
1718397513,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,33,0,10000.0,10522.811558000147,5846.028579995618,15174.98832399724,3299.3333333333335
1718397514,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,33,0,10000.0,10522.811558000147,5846.028579995618,15174.98832399724,3299.3333333333335
1718397514,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,33,0,10000.0,10522.811558000147,5846.028579995618,15174.98832399724,3299.3333333333335
1718397515,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,34,0,10000.0,10475.990844264958,5846.028579995618,15174.98832399724,3299.794117647059
1718397515,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,34,0,10000.0,10475.990844264958,5846.028579995618,15174.98832399724,3299.794117647059
1718397516,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,35,0,10000.0,10525.137839000048,5846.028579995618,15174.98832399724,3300.9142857142856
1718397516,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,35,0,10000.0,10525.137839000048,5846.028579995618,15174.98832399724,3300.9142857142856
1718397517,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,37,0,10000.0,10273.959201540345,1507.4955909949495,15174.98832399724,3301.837837837838
1718397517,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,37,0,10000.0,10273.959201540345,1507.4955909949495,15174.98832399724,3301.837837837838
1718397518,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,37,0,10000.0,10273.959201540345,1507.4955909949495,15174.98832399724,3301.837837837838
1718397518,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,37,0,10000.0,10273.959201540345,1507.4955909949495,15174.98832399724,3301.837837837838
1718397519,10,POST,/common_factors_classification,0.900000,0.000000,11000,11000,11000,11000,12000,14000,14000,14000,14000,14000,14000,40,0,10000.0,9941.052124999806,1507.4955909949495,15174.98832399724,3303.775
1718397519,10,,Aggregated,0.900000,0.000000,11000,11000,11000,11000,12000,14000,14000,14000,14000,14000,14000,40,0,10000.0,9941.052124999806,1507.4955909949495,15174.98832399724,3303.775
1718397520,10,POST,/common_factors_classification,1.000000,0.000000,11000,11000,12000,12000,12000,14000,14000,14000,14000,14000,14000,42,0,10000.0,9795.219780428375,1507.4955909949495,15174.98832399724,3302.7380952380954
1718397520,10,,Aggregated,1.000000,0.000000,11000,11000,12000,12000,12000,14000,14000,14000,14000,14000,14000,42,0,10000.0,9795.219780428375,1507.4955909949495,15174.98832399724,3302.7380952380954
1718397521,10,POST,/common_factors_classification,1.000000,0.000000,10000,11000,12000,12000,12000,14000,14000,14000,14000,14000,14000,43,0,10000.0,9615.503884674265,1507.4955909949495,15174.98832399724,3301.4418604651164
1718397521,10,,Aggregated,1.000000,0.000000,10000,11000,12000,12000,12000,14000,14000,14000,14000,14000,14000,43,0,10000.0,9615.503884674265,1507.4955909949495,15174.98832399724,3301.4418604651164
1718397522,10,POST,/common_factors_classification,1.100000,0.000000,8900,11000,12000,12000,13000,14000,14000,14000,14000,14000,14000,46,0,10000.0,9370.664558021457,1507.4955909949495,15174.98832399724,3300.717391304348
1718397522,10,,Aggregated,1.100000,0.000000,8900,11000,12000,12000,13000,14000,14000,14000,14000,14000,14000,46,0,10000.0,9370.664558021457,1507.4955909949495,15174.98832399724,3300.717391304348
